store,dept,avg_weekly_demand,annual_demand,safety_stock,reorder_point,eoq,naive_annual_cost,optimal_annual_cost,estimated_savings_pct
2,45,12.06,627.27,3.55,15.62,158.4,2615.08,396.0,84.86
2,46,28823.5,1498821.95,3463.27,32286.77,7742.92,38629.37,19357.31,49.89
2,47,32.43,1686.58,17.89,50.33,259.74,2640.54,649.34,75.41
2,48,1263.73,65714.15,150.2,1413.94,1621.29,4179.67,4053.21,3.03
2,49,15553.35,808773.98,2161.35,17714.69,5687.79,22041.68,14219.48,35.49
2,51,13.66,710.08,2.37,16.02,168.53,2617.07,421.33,83.9
2,52,4128.83,214699.12,550.77,4679.59,2930.52,7761.04,7326.31,5.6
2,54,92.47,4808.56,20.92,113.39,438.57,2715.59,1096.42,59.62
2,55,11674.62,607080.1,1686.48,13361.09,4927.8,17193.27,12319.5,28.35
2,56,5333.99,277367.6,944.88,6278.87,3330.87,9267.49,8327.18,10.15
2,58,21350.05,1110202.37,2956.74,24306.78,6663.94,29287.56,16659.85,43.12
2,59,823.44,42818.9,139.15,962.59,1308.72,3629.3,3271.81,9.85
2,60,179.36,9326.94,30.46,209.82,610.8,2824.21,1527.0,45.93
2,67,11101.4,577273.03,1577.1,12678.5,4805.3,16476.76,12013.25,27.09
2,71,4587.2,238534.45,633.61,5220.81,3088.91,8334.0,7722.28,7.34
2,72,68206.53,3546739.38,8597.36,76803.89,11910.9,87858.16,29777.25,66.11
2,74,16908.74,879254.67,2113.48,19022.23,5930.45,23735.93,14826.11,37.54
2,78,0.83,43.15,0.33,1.16,41.55,2601.04,103.87,96.01
2,79,32734.3,1702183.71,3966.03,36700.34,8251.51,43517.88,20628.76,52.6
2,80,25976.66,1350786.12,3560.28,29536.93,7350.61,35070.82,18376.52,47.6
2,81,31022.55,1613172.44,3951.47,34974.02,8032.86,41378.18,20082.16,51.47
2,82,22916.91,1191679.51,3145.9,26062.81,6904.14,31246.14,17260.36,44.76
2,83,5699.36,296366.65,711.39,6410.75,3443.06,9724.2,8607.65,11.48
2,85,3592.85,186828.21,502.63,4095.48,2733.7,7091.06,6834.26,3.62
2,87,24559.26,1277081.71,3422.78,27982.04,7147.26,33299.08,17868.14,46.34
2,90,96994.18,5043697.26,13809.04,110803.22,14203.8,123842.72,35509.5,71.33
2,91,80647.83,4193687.32,10929.64,91577.47,12951.74,103409.79,32379.34,68.69
2,92,163730.26,8513973.3,21855.03,185585.28,18454.24,207262.82,46135.6,77.74
2,93,70546.66,3668426.15,9348.28,79894.94,12113.51,90783.32,30283.77,66.64
2,94,69825.31,3630916.19,8940.54,78765.85,12051.42,89881.64,30128.54,66.48
2,95,143616.58,7468062.28,20067.32,163683.9,17283.59,182120.73,43208.98,76.27
2,96,34240.38,1780499.96,4287.31,38527.69,8439.19,45400.48,21097.99,53.53
2,97,40695.74,2116178.43,5415.93,46111.67,9200.39,53469.67,23000.97,56.98
2,98,13781.28,716626.81,1861.16,15642.45,5353.98,19826.61,13384.94,32.49
2,99,80.79,4201.29,20.43,101.23,409.94,2700.99,1024.85,62.06
3,1,7132.6,370895.12,1115.61,8248.21,3851.73,11515.75,9629.32,16.38
3,2,16841.78,875772.33,2076.91,18918.69,5918.69,23652.22,14796.73,37.44
3,3,4880.58,253789.95,729.21,5609.78,3186.16,8700.72,7965.39,8.45
3,4,8434.19,438577.7,1056.92,9491.11,4188.45,13142.73,10471.12,20.33
3,5,11300.14,587607.02,1439.42,12739.55,4848.12,16725.17,12120.3,27.53
3,6,1881.58,97842.11,248.13,2129.7,1978.3,4951.97,4945.76,0.13
3,7,8851.14,460259.28,1134.59,9985.73,4290.73,13663.92,10726.83,21.5
3,8,8310.25,432133.22,1132.83,9443.09,4157.56,12987.82,10393.91,19.97
3,9,9014.42,468750.09,1347.04,10361.46,4330.13,13868.03,10825.32,21.94
3,10,10871.94,565341.09,1443.7,12315.65,4755.38,16189.93,11888.45,26.57
3,11,8637.43,449146.58,1328.1,9965.53,4238.62,13396.79,10596.54,20.9
3,12,2384.23,123980.1,311.09,2695.32,2226.93,5580.29,5567.32,0.23
3,13,11361.27,590786.06,1534.19,12895.46,4861.22,16801.59,12153.05,27.67
3,14,4461.78,232012.76,640.33,5102.11,3046.39,8177.23,7615.98,6.86
3,16,7871.57,409321.55,1082.43,8954.0,4046.34,12439.46,10115.85,18.68
3,17,2629.03,136709.31,313.03,2942.06,2338.46,5886.28,5846.14,0.68
3,18,1979.18,102917.11,431.19,2410.37,2028.96,5073.97,5072.4,0.03
3,19,686.71,35708.81,87.26,773.96,1195.14,3458.38,2987.84,13.61
3,20,1676.98,87203.0,204.95,1881.93,1867.65,4696.23,4669.13,0.58
3,21,1237.35,64342.26,154.11,1391.46,1604.27,4146.69,4010.68,3.28
3,22,3060.0,159119.92,415.54,3475.54,2522.85,6425.0,6307.14,1.83
3,23,10868.21,565147.15,1425.82,12294.04,4754.56,16185.27,11886.41,26.56
3,24,2675.24,139112.61,419.99,3095.24,2358.92,5944.05,5897.3,0.79
3,25,4247.8,220885.79,529.01,4776.81,2972.45,7909.75,7431.11,6.05
3,26,2822.67,146778.65,356.64,3179.31,2423.04,6128.33,6057.61,1.15
3,27,493.29,25650.83,63.54,556.82,1012.93,3216.61,2532.33,21.27
3,28,165.73,8617.84,22.46,188.19,587.12,2807.16,1467.81,47.71
3,29,1471.15,76499.95,192.44,1663.6,1749.29,4438.94,4373.21,1.48
3,30,1235.64,64253.2,174.74,1410.38,1603.16,4144.55,4007.9,3.3
3,31,845.09,43944.49,117.12,962.2,1325.81,3656.36,3314.53,9.35
3,32,3808.08,198020.18,509.32,4317.4,2814.39,7360.1,7035.98,4.4
3,33,3189.74,165866.23,460.37,3650.1,2575.78,6587.17,6439.45,2.24
3,34,4576.94,238001.07,615.0,5191.95,3085.46,8321.18,7713.64,7.3
3,35,1439.08,74832.02,202.1,1641.18,1730.11,4398.85,4325.28,1.67
3,36,619.24,32200.57,98.73,717.97,1134.91,3374.05,2837.28,15.91
3,38,108598.36,5647114.93,13409.51,122007.88,15029.46,138347.96,37573.64,72.84
3,40,18203.11,946561.63,2406.02,20609.13,6153.25,25353.89,15383.12,39.33
3,41,617.37,32103.34,97.74,715.11,1133.2,3371.71,2832.99,15.98
3,42,4422.94,229993.11,569.6,4992.54,3033.1,8128.68,7582.76,6.72
3,44,2132.69,110900.08,290.08,2422.78,2106.18,5265.87,5265.46,0.01
3,45,2.43,126.36,0.72,3.15,71.09,2603.04,177.74,93.17
3,46,5919.71,307824.96,766.06,6685.77,3508.99,9999.64,8772.47,12.27
3,47,19.45,1011.4,5.54,24.99,201.14,2624.31,502.84,80.84
3,49,13.63,708.78,2.37,16.0,168.38,2617.04,420.94,83.92
3,51,2.27,117.84,0.7,2.97,68.66,2602.83,171.64,93.41
3,52,955.38,49679.68,148.27,1103.65,1409.68,3794.22,3524.19,7.12
3,54,45.52,2366.79,9.16,54.68,307.69,2656.89,769.22,71.05
3,55,6870.15,357247.99,983.6,7853.76,3780.2,11187.69,9450.5,15.53
3,56,1587.4,82544.68,281.01,1868.41,1817.08,4584.25,4542.71,0.91
3,59,136.72,7109.61,25.6,162.32,533.28,2770.9,1333.19,51.89
3,60,137.82,7166.84,19.42,157.25,535.42,2772.28,1338.55,51.72
3,67,1932.9,100510.9,288.15,2221.05,2005.1,5016.13,5012.76,0.07
3,71,1081.2,56222.51,159.41,1240.62,1499.63,3951.5,3749.08,5.12
3,72,22060.71,1147156.82,3081.14,25141.85,6773.94,30175.89,16934.85,43.88
3,74,3339.14,173635.46,423.97,3763.12,2635.42,6773.93,6588.54,2.74
3,77,28.49,1481.38,9.54,38.02,243.42,2635.61,608.56,76.91
3,79,7228.26,375869.39,950.54,8178.79,3877.47,11635.32,9693.68,16.69
3,80,2.67,138.8,1.39,4.06,74.51,2603.34,186.28,92.84
3,81,1429.3,74323.6,188.12,1617.42,1724.22,4386.63,4310.56,1.73
3,82,6617.4,344104.8,897.23,7514.63,3710.01,10871.75,9275.03,14.69
3,85,872.91,45391.33,122.48,995.39,1347.46,3691.14,3368.65,8.74
3,87,939.44,48850.64,122.55,1061.99,1397.86,3774.29,3494.66,7.41
3,90,1540.05,80082.56,209.16,1749.21,1789.78,4525.06,4474.44,1.12
3,91,317.77,16523.82,45.93,363.69,812.99,2997.21,2032.48,32.19
3,92,7568.28,393550.57,1000.5,8568.78,3967.62,12060.35,9919.05,17.75
3,94,110.21,5731.1,35.96,146.17,478.79,2737.77,1196.99,56.28
3,95,15745.53,818767.47,2121.57,17867.1,5722.82,22281.91,14307.06,35.79
3,96,3895.36,202558.49,573.48,4468.84,2846.46,7469.19,7116.15,4.73
3,97,336.23,17484.08,50.54,386.77,836.28,3020.29,2090.7,30.78
3,98,10.84,563.76,3.2,14.05,150.17,2613.55,375.42,85.64
4,1,34890.08,1814284.28,4873.22,39763.3,8518.88,46212.6,21297.21,53.91
4,2,93596.38,4867011.74,13409.85,107006.23,13952.79,119595.47,34881.99,70.83
4,3,15075.29,783915.25,1918.33,16993.63,5599.7,21444.12,13999.24,34.72
4,4,56495.1,2937745.04,7323.98,63819.08,10840.19,73218.87,27100.48,62.99
4,5,42725.69,2221735.93,5663.16,48388.85,9427.06,56007.11,23567.65,57.92
4,6,7374.38,383467.74,910.52,8284.9,3916.47,11817.97,9791.17,17.15
4,7,43911.4,2283392.93,5947.8,49859.2,9556.97,57489.25,23892.43,58.44
4,8,62892.54,3270412.18,8923.53,71816.07,11437.5,81215.68,28593.76,64.79
4,9,34373.17,1787404.68,4759.19,39132.35,8455.54,45566.46,21138.85,53.61
4,10,37263.54,1937704.06,4983.07,42246.61,8803.87,49179.42,22009.68,55.25
4,11,27021.9,1405138.99,4189.67,31211.57,7497.04,36377.38,18742.59,48.48
4,12,8151.88,423897.87,1122.88,9274.76,4117.76,12789.85,10294.39,19.51
4,13,69582.05,3618266.82,9393.97,78976.02,12030.41,89577.57,30076.02,66.42
4,14,26813.31,1394292.13,3743.43,30556.74,7468.04,36116.64,18670.11,48.31
4,16,21270.15,1106047.96,3590.22,24860.38,6651.46,29187.69,16628.65,43.03
4,17,15672.38,814963.74,2130.72,17803.1,5709.51,22190.47,14273.78,35.68
4,18,11010.23,572531.8,2179.0,13189.23,4785.53,16362.78,11963.82,26.88
4,19,3033.72,157753.55,422.11,3455.83,2512.0,6392.15,6280.0,1.75
4,20,8879.79,461749.02,1177.18,10056.96,4297.67,13699.74,10744.17,21.57
4,21,8803.52,457782.93,1348.78,10152.3,4279.17,13604.4,10697.93,21.36
4,22,17040.2,886090.47,2475.54,19515.74,5953.45,23900.25,14883.64,37.73
4,23,45251.05,2353054.8,6231.75,51482.81,9701.66,59163.82,24254.15,59.01
4,24,10261.05,533574.42,1433.74,11694.79,4619.85,15426.31,11549.61,25.13
4,25,15564.92,809375.68,1894.88,17459.79,5689.91,22056.15,14224.76,35.51
4,26,18347.21,954055.14,2496.12,20843.33,6177.56,25534.02,15443.89,39.52
4,27,2511.21,130582.96,406.69,2917.9,2285.46,5739.01,5713.65,0.44
4,28,915.63,47612.51,130.18,1045.81,1380.04,3744.53,3450.09,7.86
4,29,9172.22,476955.41,1147.49,10319.71,4367.86,14065.27,10919.65,22.36
4,30,7683.91,399563.2,1105.95,8789.85,3997.82,12204.88,9994.54,18.11
4,31,3338.26,173589.34,471.06,3809.31,2635.07,6772.82,6587.67,2.73
4,32,12353.77,642395.83,1774.78,14128.54,5069.11,18042.21,12672.76,29.76
4,33,11680.46,607383.98,1418.55,13099.01,4929.03,17200.58,12322.58,28.36
4,34,25099.36,1305166.52,3488.13,28587.49,7225.42,33974.2,18063.54,46.83
4,35,4365.69,227015.79,615.0,4980.69,3013.41,8057.11,7533.52,6.5
4,36,2882.85,149907.98,440.67,3323.51,2448.74,6203.56,6121.85,1.32
4,37,3652.46,189927.9,523.51,4175.97,2756.29,7165.57,6890.72,3.84
4,38,80040.96,4162129.88,9672.64,89713.6,12902.91,102651.2,32257.29,68.58
4,40,78729.26,4093921.68,10739.75,89469.01,12796.75,101011.58,31991.88,68.33
4,41,951.0,49451.91,130.31,1081.3,1406.44,3788.75,3516.1,7.2
4,42,9510.98,494570.79,1193.76,10704.74,4447.79,14488.72,11119.47,23.25
4,44,5367.88,279129.71,641.83,6009.71,3341.44,9309.85,8353.59,10.27
4,45,3.72,193.54,0.77,4.49,87.99,2604.65,219.96,91.55
4,46,38402.31,1996920.33,5273.78,43676.09,8937.38,50602.89,22343.46,55.85
4,47,4.29,222.91,2.83,7.12,94.43,2605.36,236.07,90.94
4,48,2237.6,116355.36,335.23,2572.84,2157.36,5397.0,5393.41,0.07
4,49,6911.68,359407.19,802.67,7714.35,3791.61,11239.6,9479.02,15.66
4,51,1.32,68.56,0.4,1.72,52.37,2601.65,130.92,94.97
4,52,3651.88,189897.8,484.54,4136.42,2756.07,7164.85,6890.17,3.83
4,54,123.2,6406.58,16.84,140.04,506.22,2754.0,1265.56,54.05
4,55,17315.54,900408.1,2258.57,19574.11,6001.36,24244.43,15003.4,38.12
4,56,5793.94,301284.71,1012.27,6806.21,3471.51,9842.42,8678.78,11.82
4,58,6063.12,315282.11,751.4,6814.52,3551.24,10178.9,8878.09,12.78
4,59,790.76,41119.65,142.48,933.24,1282.49,3588.45,3206.23,10.65
4,60,406.81,21154.05,55.16,461.97,919.87,3108.51,2299.68,26.02
4,67,11656.88,606157.93,1681.4,13338.28,4924.05,17171.1,12310.14,28.31
4,71,7656.17,398120.94,1047.78,8703.95,3990.59,12170.22,9976.48,18.03
4,72,94933.49,4936541.33,12660.09,107593.57,14052.1,121266.86,35130.26,71.03
4,74,20599.76,1071187.45,2692.72,23292.48,6545.8,28349.7,16364.5,42.28
4,77,128.05,6658.44,18.16,146.21,516.08,2760.06,1290.2,53.25
4,78,0.98,51.04,0.41,1.39,45.18,2601.23,112.96,95.66
4,79,52436.66,2726706.16,7344.1,59780.75,10443.57,68145.82,26108.94,61.69
4,80,19369.46,1007212.01,2633.85,22003.32,6347.32,26811.83,15868.3,40.82
4,81,31074.92,1615895.94,3860.56,34935.49,8039.64,41443.65,20099.1,51.5
4,82,28414.34,1477545.58,3769.8,32184.14,7687.77,38117.92,19219.43,49.58
4,83,9142.0,475384.23,1116.83,10258.84,4360.66,14027.51,10901.65,22.28
4,85,2712.77,141064.25,363.62,3076.4,2375.41,5990.97,5938.52,0.88
4,87,14223.46,739620.04,2040.21,16263.67,5439.19,20379.33,13597.98,33.28
4,90,89137.92,4635171.87,11510.08,100648.0,13616.42,114022.4,34041.05,70.15
4,91,66559.19,3461077.71,8051.23,74610.41,11766.18,85798.98,29415.46,65.72
4,92,159018.41,8268957.23,19624.05,178642.45,18186.76,201373.01,45466.9,77.42
4,93,67798.07,3525499.43,8770.54,76568.61,11875.18,87347.58,29687.96,66.01
4,94,68154.65,3544041.58,9520.67,77675.31,11906.37,87793.31,29765.93,66.1
4,95,147236.47,7656296.63,18245.22,165481.69,17500.05,186645.59,43750.13,76.56
4,96,38310.6,1992151.23,5007.48,43318.08,8926.7,50488.25,22316.76,55.8
4,97,39353.62,2046388.24,5108.62,44462.24,9047.4,51792.02,22618.51,56.33
4,98,14594.27,758901.98,1833.29,16427.56,5509.64,20842.84,13774.09,33.91
4,99,57.43,2986.3,24.19,81.62,345.62,2671.79,864.05,67.66
5,1,9487.05,493326.71,1385.98,10873.04,4442.19,14458.82,11105.48,23.19
5,2,12302.23,639715.7,1634.91,13937.14,5058.52,17977.78,12646.3,29.66
5,3,3611.17,187780.96,488.33,4099.51,2740.66,7113.97,6851.66,3.69
5,4,9860.81,512761.95,1284.31,11145.12,4528.85,14926.01,11322.12,24.14
5,5,6261.44,325595.01,944.67,7206.11,3608.85,10426.8,9022.13,13.47
5,6,1029.21,53518.87,147.42,1176.62,1463.13,3886.51,3657.83,5.88
5,7,5543.39,288256.24,860.37,6403.76,3395.62,9529.24,8489.06,10.92
5,8,13735.71,714256.89,1859.22,15594.93,5345.12,19769.64,13362.79,32.41
5,9,7663.66,398510.07,1038.65,8702.31,3992.54,12179.57,9981.36,18.05
5,10,9781.28,508626.62,1259.69,11040.98,4510.55,14826.6,11276.38,23.94
5,11,7372.22,383355.55,1040.77,8412.99,3915.89,11815.28,9789.73,17.14
5,12,2515.35,130798.06,336.14,2851.49,2287.34,5744.18,5718.35,0.45
5,13,11239.05,584430.71,1512.46,12751.51,4835.0,16648.82,12087.5,27.4
5,14,3489.8,181469.68,469.51,3959.31,2694.21,6962.25,6735.53,3.26
5,16,7710.44,400942.94,1386.97,9097.42,4004.71,12238.05,10011.78,18.19
5,17,2357.02,122565.09,303.17,2660.19,2214.18,5546.28,5535.46,0.2
5,18,1275.51,66326.28,270.56,1546.07,1628.82,4194.38,4072.05,2.92
5,19,18.29,951.0,4.08,22.37,195.04,2622.86,487.6,81.41
5,20,1200.63,62432.76,125.19,1325.82,1580.29,4100.79,3950.72,3.66
5,21,1308.77,68055.81,167.48,1476.25,1649.92,4235.96,4124.8,2.62
5,22,2337.97,121574.47,338.42,2676.39,2205.22,5522.46,5513.04,0.17
5,23,6046.58,314422.01,746.46,6793.04,3546.39,10158.22,8865.97,12.72
5,24,1392.77,72423.98,175.45,1568.21,1702.05,4340.96,4255.11,1.98
5,25,2660.03,138321.8,332.17,2992.21,2352.21,5925.04,5880.51,0.75
5,26,1774.25,92260.79,257.54,2031.78,1921.05,4817.81,4802.62,0.32
5,27,369.46,19212.04,44.57,414.03,876.63,3061.83,2191.58,28.42
5,28,203.07,10559.6,28.37,231.44,649.91,2853.84,1624.78,43.07
